Date,Open,High,Low,Close,Volume
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
9-Aug-21,207.29,209.88,206.12,208.89,"2,747,219"
10-Aug-21,210,214.9,208.96,214.07,"4,193,557"
11-Aug-21,215.73,222.57,214.57,221.66,"7,794,082"
12-Aug-21,222.24,223.76,218.47,220.24,"4,446,237"
13-Aug-21,219.88,220.55,217.73,218.57,"2,049,416"
16-Aug-21,217.36,218,214.34,217.71,"3,134,276"
17-Aug-21,216.22,216.39,210.58,213.44,"4,022,806"
18-Aug-21,212.5,213.55,209.72,209.81,"2,947,719"
19-Aug-21,208.17,208.96,203.21,204.45,"4,788,141"
20-Aug-21,205.42,207.26,203.59,204.94,"2,765,514"
23-Aug-21,207.25,209.75,205.83,209.14,"2,827,365"
24-Aug-21,209.75,213.27,209.53,212.59,"2,485,926"
25-Aug-21,213.17,215.7,212.15,214.76,"2,599,798"
26-Aug-21,214.51,214.51,210.48,211.24,"2,513,944"
27-Aug-21,212.26,214.03,212.22,212.83,"2,511,382"
30-Aug-21,213.22,213.74,210.8,211.45,"1,922,125"
31-Aug-21,211.28,212.3,210.42,210.87,"2,857,877"
1-Sep-21,210.87,210.99,206.61,207.96,"4,122,888"
2-Sep-21,208.92,212.95,208.92,211.78,"2,922,282"
3-Sep-21,211.15,212.8,210,210.37,"2,513,016"
7-Sep-21,210.04,210.34,207.85,208.23,"2,643,189"
8-Sep-21,207.12,208.12,204.77,206.77,"2,603,093"
9-Sep-21,206.5,208.15,204.9,205.42,"2,778,162"
10-Sep-21,207.1,207.88,204.82,205.01,"2,551,174"
13-Sep-21,207.16,207.86,203.93,206.2,"2,699,131"
14-Sep-21,206.04,206.1,201.64,202.33,"3,757,600"
15-Sep-21,202.17,206.59,201.87,205.73,"3,342,723"
16-Sep-21,205.45,206.39,202.82,203.6,"3,120,141"
17-Sep-21,202.63,203.27,199.45,199.75,"6,355,040"
20-Sep-21,193.06,193.99,188.48,190.82,"9,151,051"
21-Sep-21,192,192.71,186.98,189.84,"5,699,855"
22-Sep-21,192,194.5,191.16,191.35,"3,924,417"
23-Sep-21,192.91,197.6,192.85,196.62,"3,367,778"
24-Sep-21,195.65,197.79,194.93,196.82,"2,199,472"
27-Sep-21,197.6,201.99,197.6,200,"3,033,101"
28-Sep-21,200.2,201.89,198.75,200.55,"3,247,465"
29-Sep-21,200.48,201.16,197.7,197.87,"2,954,707"
30-Sep-21,198.62,198.87,191.63,191.97,"4,984,013"
1-Oct-21,192.9,195.87,191.24,194.33,"3,695,489"
4-Oct-21,194.74,195.91,192.41,193.13,"2,864,563"
5-Oct-21,192.76,194.4,190.73,192.5,"3,074,591"
6-Oct-21,190,192.39,187.8,191.86,"3,777,660"
7-Oct-21,193.73,196.39,193.61,195.75,"3,510,517"
8-Oct-21,195.8,196.58,194.74,195.16,"2,713,300"
11-Oct-21,196.34,197.17,192.68,192.89,"2,015,161"
