Date,Open,High,Low,Close,Volume
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
9-Aug-21,289.75,291.55,287.81,288.33,"16,117,629"
10-Aug-21,288.8,289.25,285.2,286.44,"18,616,578"
11-Aug-21,287.21,288.66,285.86,286.95,"13,955,934"
12-Aug-21,286.63,289.97,286.34,289.81,"14,570,391"
13-Aug-21,289.48,292.9,289.3,292.85,"18,249,046"
16-Aug-21,293.19,294.82,290.02,294.6,"22,516,027"
17-Aug-21,292.39,293.43,291.08,293.08,"20,075,250"
18-Aug-21,292.04,294.82,290.27,290.73,"21,812,985"
19-Aug-21,288.69,297.47,288.64,296.77,"29,850,461"
20-Aug-21,299.72,305.84,298.06,304.36,"40,817,646"
23-Aug-21,303.25,305.4,301.85,304.65,"22,830,157"
24-Aug-21,305.02,305.65,302,302.62,"18,175,774"
25-Aug-21,304.3,304.59,300.42,302.01,"20,006,057"
26-Aug-21,300.99,302.43,298.95,299.09,"17,666,084"
27-Aug-21,298.99,300.87,296.83,299.72,"22,605,726"
30-Aug-21,301.12,304.22,301.06,303.59,"16,348,072"
31-Aug-21,304.42,304.5,301.5,301.88,"26,285,338"
1-Sep-21,302.87,305.19,301.49,301.83,"18,983,826"
2-Sep-21,302.2,303.36,300.18,301.15,"16,290,545"
3-Sep-21,300.99,302.6,300.26,301.14,"14,751,610"
7-Sep-21,301.01,301.09,298.2,300.18,"17,184,083"
8-Sep-21,299.78,300.61,297.47,300.21,"15,046,819"
9-Sep-21,300.82,302.14,297,297.25,"19,927,000"
10-Sep-21,298.42,299.92,295.38,295.71,"19,633,363"
13-Sep-21,297.55,298.54,294.08,296.99,"23,652,949"
14-Sep-21,299.56,301.39,298.1,299.79,"21,853,433"
15-Sep-21,303.26,305.32,301.82,304.82,"28,356,304"
16-Sep-21,303.76,305.31,300.76,305.22,"19,550,815"
17-Sep-21,304.17,304.5,299.53,299.87,"41,372,457"
20-Sep-21,296.33,298.72,289.52,294.3,"38,278,661"
21-Sep-21,295.69,297.54,294.07,294.8,"22,364,103"
22-Sep-21,296.73,300.22,294.51,298.58,"26,626,342"
23-Sep-21,298.85,300.9,297.53,299.56,"18,604,601"
24-Sep-21,298.23,299.8,296.93,299.35,"14,998,978"
27-Sep-21,296.14,296.47,292.94,294.17,"23,571,742"
28-Sep-21,289.8,290.78,282.75,283.52,"43,186,237"
29-Sep-21,285.1,286.77,283.01,284,"26,353,696"
30-Sep-21,285.71,287.83,281.62,281.92,"32,343,635"
1-Oct-21,282.12,289.98,281.29,289.1,"30,086,280"
4-Oct-21,287.4,287.75,280.25,283.11,"31,350,747"
5-Oct-21,284.05,290.4,284.05,288.76,"24,993,024"
6-Oct-21,285.78,293.63,285.51,293.11,"28,002,559"
7-Oct-21,295.18,296.64,293.92,294.85,"20,430,471"
8-Oct-21,296.22,296.64,293.76,294.85,"17,685,700"
11-Oct-21,292.92,297.97,292.75,294.23,"19,298,634"
