Date,Open,High,Low,Close,Volume
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
9-Aug-21,204.46,205.08,201.43,202.95,"14,644,310"
10-Aug-21,203.22,204.3,198.35,199.36,"17,923,778"
11-Aug-21,200.43,200.49,194.3,196.99,"18,592,484"
12-Aug-21,198.7,200.29,196.2,199.05,"15,186,155"
13-Aug-21,199.05,202.14,198.51,201.88,"18,306,286"
16-Aug-21,201.35,202.87,194.53,199.5,"21,115,280"
17-Aug-21,196.85,197.7,192.67,194.58,"20,458,485"
18-Aug-21,195,196.34,190,190.4,"28,591,348"
19-Aug-21,194.94,204.95,187.62,197.98,"76,655,477"
20-Aug-21,199.91,208.65,199.33,208.16,"67,574,131"
23-Aug-21,209.71,219.97,209.5,219.58,"57,580,658"
24-Aug-21,217.53,219.59,215.35,217.93,"29,729,892"
25-Aug-21,217.37,224.7,217.22,222.13,"34,770,104"
26-Aug-21,222,223.4,217.9,220.68,"23,794,042"
27-Aug-21,221.84,227.22,221.67,226.36,"30,472,219"
30-Aug-21,228.3,230.43,225.51,226.88,"26,257,990"
31-Aug-21,226.95,226.95,221.2,223.85,"25,984,968"
1-Sep-21,224.85,226.97,223.57,224.41,"20,176,695"
2-Sep-21,225.18,225.93,222.95,223.96,"18,810,957"
3-Sep-21,223.25,229.86,222,228.43,"28,083,198"
7-Sep-21,228.33,228.99,225.22,226.62,"19,810,716"
8-Sep-21,225.13,226.1,219.77,223.39,"25,443,421"
9-Sep-21,223.12,225.38,221.31,221.77,"19,685,601"
10-Sep-21,223.48,226.26,222.7,224.78,"24,837,574"
13-Sep-21,226.84,229.64,218.58,221.52,"29,749,990"
14-Sep-21,222.75,224.1,220.86,222.42,"19,975,460"
15-Sep-21,223.09,223.67,219.66,223.41,"16,653,801"
16-Sep-21,221.83,222.77,219.27,222.42,"15,603,344"
17-Sep-21,223,223.21,218.3,219,"29,450,284"
20-Sep-21,211.46,214.33,206.62,211.13,"34,944,045"
21-Sep-21,214.17,214.25,209.5,212.46,"20,468,810"
22-Sep-21,213.66,219.6,211.96,219.41,"26,872,556"
23-Sep-21,221.4,225.35,218.9,224.82,"24,855,491"
24-Sep-21,220.7,221.49,218.61,220.81,"21,765,545"
27-Sep-21,217.1,217.99,213.25,216.6,"24,521,514"
28-Sep-21,212.14,214.19,206.51,206.99,"34,306,895"
29-Sep-21,209.4,210.17,204.67,205.17,"21,839,363"
30-Sep-21,207.68,210.66,206.88,207.16,"22,100,912"
1-Oct-21,207.5,208.59,202.03,207.42,"24,097,796"
4-Oct-21,205.04,205.42,195.55,197.32,"34,563,497"
5-Oct-21,199.5,206.48,198.54,204.51,"27,928,165"
6-Oct-21,201.2,207.2,200.8,207,"29,720,175"
7-Oct-21,210.92,213.22,209.72,210.75,"25,691,893"
8-Oct-21,211.01,212.06,207.75,208.31,"15,125,791"
11-Oct-21,205.75,210.63,205.11,206.95,"16,338,754"
