Date,Open,High,Low,Close,Volume
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
9-Aug-21,710.17,719.03,705.13,713.76,"14,715,349"
10-Aug-21,713.99,716.59,701.88,709.99,"13,432,305"
11-Aug-21,712.71,715.18,704.21,707.82,"9,800,558"
12-Aug-21,706.34,722.8,699.4,722.25,"17,681,686"
13-Aug-21,723.71,729.9,714.34,717.17,"16,731,467"
16-Aug-21,705.07,709.5,676.4,686.17,"23,103,303"
17-Aug-21,672.66,674.58,648.84,665.71,"23,721,279"
18-Aug-21,669.75,695.77,669.35,688.99,"20,349,375"
19-Aug-21,678.21,686.55,667.59,673.47,"14,313,486"
20-Aug-21,682.85,692.13,673.7,680.26,"14,841,865"
23-Aug-21,685.44,712.13,680.75,706.3,"20,264,859"
24-Aug-21,710.68,715.22,702.64,708.49,"13,083,071"
25-Aug-21,707.03,716.97,704,711.2,"12,645,562"
26-Aug-21,708.31,715.4,697.62,701.16,"13,214,292"
27-Aug-21,705,715,702.1,711.92,"13,833,763"
30-Aug-21,714.72,731,712.73,730.91,"18,604,220"
31-Aug-21,733,740.39,726.44,735.72,"20,855,436"
1-Sep-21,734.08,741.99,731.27,734.09,"13,204,335"
2-Sep-21,734.5,740.97,730.54,732.39,"12,796,739"
3-Sep-21,732.25,734,724.2,733.57,"15,271,045"
7-Sep-21,740,760.2,739.26,752.92,"20,039,825"
8-Sep-21,761.58,764.45,740.77,753.87,"18,793,036"
9-Sep-21,753.41,762.1,751.63,754.86,"14,077,731"
10-Sep-21,759.6,762.61,734.52,736.27,"15,184,170"
13-Sep-21,740.21,744.78,708.85,743,"22,952,482"
14-Sep-21,742.57,754.47,736.4,744.49,"18,524,881"
15-Sep-21,745,756.86,738.36,755.83,"15,357,685"
16-Sep-21,752.83,758.91,747.61,756.99,"13,923,393"
17-Sep-21,757.15,761.04,750,759.49,"28,204,176"
20-Sep-21,734.56,742,718.62,730.17,"24,757,652"
21-Sep-21,734.79,744.74,730.44,739.38,"16,330,723"
22-Sep-21,743.53,753.67,739.12,751.94,"15,126,272"
23-Sep-21,755,758.2,747.92,753.64,"11,947,527"
24-Sep-21,745.89,774.8,744.56,774.39,"21,373,022"
27-Sep-21,773.12,799,769.31,791.36,"28,070,657"
28-Sep-21,787.2,795.64,766.18,777.56,"25,381,422"
29-Sep-21,779.8,793.5,770.68,781.31,"20,942,877"
30-Sep-21,781,789.13,775,775.48,"17,955,961"
1-Oct-21,778.4,780.78,763.59,775.22,"17,031,414"
4-Oct-21,796.5,806.97,776.12,781.53,"30,483,341"
5-Oct-21,784.8,797.31,774.2,780.59,"18,432,625"
6-Oct-21,776.2,786.66,773.22,782.75,"14,632,768"
7-Oct-21,785.46,805,783.38,793.61,"19,195,782"
8-Oct-21,796.21,796.38,780.91,785.49,"16,738,604"
11-Oct-21,787.65,801.24,785.5,791.94,"14,200,322"
